SOURCE LANGUAGE,TARGET LANGUAGE,TRANSLATION ENGINE,IS PREFERRED ENGINE?
en,as,MinT,False
en,ast,MinT,False
en,ay,MinT,False
en,ba,MinT,False
en,ckb,MinT,False
en,ha,MinT,False
en,ig,MinT,False
en,ilo,MinT,False
en,is,MinT,False
en,kg,MinT,False
en,ln,MinT,False
en,lg,MinT,False
en,nso,MinT,False
en,oc,MinT,False
en,om,MinT,False
en,ss,MinT,False
en,tn,MinT,False
en,ts,MinT,False
en,wo,MinT,False
en,yue,MinT,False
en,zh,MinT,False
en,zu,MinT,False
ca,oc,MinT,False
es,as,MinT,False
es,ast,MinT,False
es,ay,MinT,False
es,ba,MinT,False
es,ckb,MinT,False
es,ha,MinT,False
es,ig,MinT,False
es,ilo,MinT,False
es,is,MinT,False
es,kg,MinT,False
es,ln,MinT,False
es,lg,MinT,False
es,nso,MinT,False
es,oc,MinT,False
es,om,MinT,False
es,ss,MinT,False
es,ti,MinT,False
es,tn,MinT,False
es,ts,MinT,False
es,yue,MinT,False
es,zh,MinT,False
es,zu,MinT,False
fr,as,MinT,False
fr,ast,MinT,False
fr,ay,MinT,False
fr,ba,MinT,False
fr,ckb,MinT,False
fr,ha,MinT,False
fr,ig,MinT,False
fr,ilo,MinT,False
fr,is,MinT,False
fr,kg,MinT,False
fr,ln,MinT,False
fr,lg,MinT,False
fr,nso,MinT,False
fr,oc,MinT,False
fr,om,MinT,False
fr,ss,MinT,False
fr,ti,MinT,False
fr,tn,MinT,False
fr,ts,MinT,False
fr,wo,MinT,False
fr,yue,MinT,False
fr,zh,MinT,False
fr,zu,MinT,False
pt,oc,MinT,False
ru,ba,MinT,False
zh,yue,MinT,False
